method,k,workload,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
eagle3,16,long_context_completion,50,80.42308948162203,78.45295758143483,22.417583210300656,25.94991363887675,1829.92,0.005935308753687991,0.9940646912463119,0.0951080379263523,1355120.0,6756.0,1348364.0,0.9950144636637346,0.004985536336265423,99.50144636637346
eagle3,16,long_horizon_swe,50,78.57256338653286,77.17308145748399,13.069985086619853,13.268877512542531,1024.0,0.002958377973238302,0.9970416220267616,0.22377652160481568,781856.0,2284.0,779572.0,0.997078745958335,0.0029212540416649613,99.7078745958335
eagle3,16,mathematical_reasoning,50,84.83223563865698,85.09616862163588,6.035160503722727,6.016722428845242,510.84,0.006895520273900106,0.9931044797260998,0.22766250138639016,368032.0,2495.0,365537.0,0.9932206982001565,0.0067793017998434915,99.32206982001564
ngram_sd,1,code_gen,50,198.29489317498528,202.8190342219134,2.8355848306976257,2.524481969187036,512.0,0.5646353260671672,0.43536467393283274,0.20182735035400817,13608.0,7607.0,6001.0,0.4409905937683715,0.5590094062316284,44.099059376837154
ngram_sd,1,conversational_generation_gen,50,178.97246928797094,169.08302157631135,2.9445793002005667,3.0281154790427536,512.0,0.3847589985313601,0.6152410014686399,0.3860775152618817,15537.0,5761.0,9776.0,0.6292076977537491,0.37079230224625087,62.92076977537491
ngram_sd,1,conversational_generation_sft,50,174.61985842029557,170.24979050663688,2.9958456668443976,3.007374735316262,512.0,0.35169258151275007,0.6483074184872498,0.40266306415187353,16061.0,5474.0,10587.0,0.6591743976091152,0.3408256023908848,65.91743976091152
ngram_sd,1,hardware_gen,50,200.85079030666193,191.80925781511883,2.613686552196741,2.6279267340432853,509.3,0.5436696400943279,0.45633035990567206,0.26061499855566655,14849.0,7856.0,6993.0,0.4709408040945518,0.5290591959054481,47.09408040945518
ngram_sd,1,long_chain_reasoning,50,209.04549437979702,195.8138700351381,5.0565432386379685,5.2295831923838705,1024.0,0.5946545356975464,0.40534546430245355,0.2740538622626566,28875.0,16672.0,12203.0,0.4226147186147186,0.5773852813852813,42.26147186147186
ngram_sd,1,long_context_completion,50,217.93678142965135,232.252875668661,8.276779817640781,8.710175656247884,1849.56,0.7037020061166178,0.29629799388338224,0.09430365324753474,51505.0,36869.0,14636.0,0.284166585768372,0.715833414231628,28.4166585768372
ngram_sd,1,long_horizon_swe,50,208.41809729220452,202.73829041756923,5.068657759698108,5.0508821294642985,1024.0,0.5918960442821742,0.40810395571782576,0.24498030779622584,28624.0,16548.0,12076.0,0.42188373392956957,0.5781162660704304,42.188373392956954
ngram_sd,1,mathematical_reasoning,50,183.66651013550904,184.2693266009404,2.8403662204742433,2.7672944341320544,507.42,0.44762395295589763,0.5523760470441023,0.23192480445474956,14318.0,6370.0,7948.0,0.555105461656656,0.444894538343344,55.510546165665595
ngram_sd,2,code_gen,50,246.162173676379,245.38494878498034,2.2560176365450024,2.0866322272922844,512.0,0.4684254474125143,0.5315745525874856,0.183789431967197,22528.0,9862.0,12666.0,0.5622336647727273,0.4377663352272727,56.22336647727273
ngram_sd,2,conversational_generation_gen,50,200.81567075658822,179.79854653643685,2.695662173144519,2.84763148217462,512.0,0.29992822129136393,0.700071778708636,0.3865951971211314,27674.0,7493.0,20181.0,0.7292404422924045,0.2707595577075956,72.92404422924045
ngram_sd,2,conversational_generation_sft,50,192.01924582172228,181.32634361386164,2.7813823374081403,2.823794002411887,512.0,0.26154943194889524,0.7384505680511048,0.40362449323116745,29043.0,7006.0,22037.0,0.7587714767758151,0.24122852322418484,75.87714767758152
ngram_sd,2,hardware_gen,50,241.12651524534823,228.83529764386876,2.258796833315864,2.2064394508488476,508.9,0.45829031348296456,0.5417096865170354,0.2590982926174766,24518.0,10370.0,14148.0,0.5770454360061995,0.4229545639938005,57.70454360061995
ngram_sd,2,long_chain_reasoning,50,252.4829665349111,216.57315415799837,4.408699532849714,4.729939928976819,1024.0,0.5062116748192527,0.4937883251807472,0.2741221827263086,47477.0,21902.0,25575.0,0.5386818880721191,0.46131811192788086,53.868188807211915
ngram_sd,2,long_context_completion,50,278.930015218444,284.1810795621102,6.682295309631154,6.669029141543433,1849.56,0.6389869123523906,0.3610130876476094,0.08823970987009071,78611.0,49203.0,29408.0,0.3740952284031497,0.6259047715968503,37.40952284031497
ngram_sd,2,long_horizon_swe,50,255.2756344501943,230.89597906775086,4.29123405138962,4.438894348917529,1024.0,0.508658688704505,0.491341311295495,0.2537369379219373,46486.0,21940.0,24546.0,0.5280299444994192,0.4719700555005808,52.80299444994192
ngram_sd,2,mathematical_reasoning,50,203.0430258236268,196.20989125381536,2.5503040182031693,2.602520420681685,508.2,0.3429959944234207,0.6570040055765793,0.22128470259835178,24846.0,8331.0,16515.0,0.6646945182323111,0.335305481767689,66.46945182323111
ngram_sd,4,code_gen,50,288.5013684264497,271.4212014456582,2.123902415316552,1.8864144114777446,512.0,0.3608363695950142,0.6391636304049857,0.18003762635784945,38077.0,11624.0,26453.0,0.6947238490427292,0.3052761509572708,69.47238490427293
ngram_sd,4,conversational_generation_gen,50,229.64350235722003,189.68527512656067,2.4983399771153927,2.699275251245126,512.0,0.21298474244079393,0.787015257559206,0.3867189756863165,50653.0,8661.0,41992.0,0.8290130890569166,0.17098691094308333,82.90130890569166
ngram_sd,4,conversational_generation_sft,50,212.2437538597361,193.80341641156187,2.603323111673817,2.641853781649843,512.0,0.17700017004601945,0.8229998299539806,0.40213360935793496,53641.0,8130.0,45511.0,0.8484368300367257,0.15156316996327437,84.84368300367257
ngram_sd,4,hardware_gen,50,286.1352658941292,247.64836894532672,2.0283866349887103,2.053792104590684,508.9,0.3310960997140746,0.6689039002859254,0.2715853895210709,42847.0,11814.0,31033.0,0.7242747450229887,0.2757252549770112,72.42747450229888
ngram_sd,4,long_chain_reasoning,50,339.6643913452603,255.72418949053852,3.6547766685765235,4.004315091995522,1024.0,0.415655694757394,0.5843443052426059,0.27531932674662896,78512.0,26130.0,52382.0,0.6671846341960465,0.33281536580395354,66.71846341960465
